empresa,year,ventas,activos,precio_accion,numacciones,retorno_accion,utilidad,deuda
ARQT,2023,59606,341365,3.23,94382.07399999991,-1.5221452,-241101,205916
ARRY,2023,1576551,1706741,16.8,151216.48,-.14027929,214124,682420
ARTW,2023,30280.957,24402.114,2.07,5009.574,.070028603,1531.2411,8146.0029
ARVN,2023,78500,1304600,41.16,55025.504,.18494892,-401500,3200
ARWR,2023,240735,765552,26.87,107192.901,-.20701122,-205002,115171
ASIX,2023,1533599,1496020,29.96,26953.68,-.21961427,69550,266014
ASPI,2023,433.026,27541.913,1.79,48773.276,.12479076,-16041.999,2142.6399
ASTC,2023,750,47675,14.16,1684.556,.093193769,-11060,607
ASTE,2023,1338200,1059300,37.2,22739.296,-.076130867,48600,83100
ASXC,2023,8577,59086,.3189,264316.749,-.084735394,-79468,5682
ASYS,2023,113315,137021,7.62,14167.351,-.10928988,-14970,22204
ATAI,2023,314,293478,1.41,166010.476,-.63473642,-125471,19142
ATEC,2023,482262,805208,15.11,136300.664,.20170069,-173395,541679
ATEN,2023,251700,389809,13.17,74138.224,-.21605372,38648,0
ATI,2023,4173700,4985100,45.47,127577.212,.42053294,466400,2179600
ATKR,2023,3518761,2935009,149.19,37793.835,.65095043,893491,884434
ATMU,2023,1628100,1088600,23.49,83297.796,,248400,600000
ATNM,2023,81,81445,5.08,27413.441,-.74024856,-51920,10066
ATR,2023,3487450,4451890,123.62,65781.269,.13010025,404019,1184675
ATRC,2023,399245,613932,35.69,47395.082,-.2179184,-26683,71187
ATRI,2023,169326,260825,378.79,1759.836,-.36997223,22579,0
ATRO,2023,689206,633792,17.42,33940.478,.52547526,-6671,197678
AVAV,2023,540536,824577,102.28,26214.677,.21855879,-178663,162822
AVD,2023,579371,767548,10.97,28750.439,-.6742928,23295,162094
